Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
Rubritalea,0.000434641,0.000123259,0,0,0,0,0,0,0,0,0,0
Prosthecobacter,0.006193633,0.006039689,0.006401897,0.008567724,0,0,0,0,0.000282231,0.000404572,0,0
Gelria,0.000380311,0.000369777,0,0,0.002040496,0.002321313,0,0,0,0,0.00033162,0.000154408
Phascolarctobacterium,0,0,0,0.000112733,0,0,0.000790306,0.002501853,0.008184692,0.006270861,0.00105013,0.00277935
Bacillus,0,0,0,0,0,0,0.004741834,0.004308747,0.006942876,0.005360574,0.00116067,0.001132328
Blattabacterium,0.00010866,6.16E-05,0,0,0.001046408,0.001295616,0,0,0,0,0,0
Kofleria,0.011192003,0.014544558,0.012922347,0.01628995,0.000261602,0.000107968,0.000482965,0.000555967,0.0014676,0.001264286,0,0
Caldilinea,0.013636858,0.012325897,0.015945465,0.015106251,0.003086904,0.002321313,0.000965929,0.00078762,0.001016031,0.001213715,0.00022108,0.000205878
Tolumonas,0.000597631,0.001047701,0.001007706,0.002085565,0,0,0,4.63E-05,0.000169338,0.000151714,0,0
Ohtaekwangia,0.001955884,0.001910514,0.001837582,0.002480131,0.000366243,0.000107968,0,0,0.000225785,0.000151714,0,0
Campylobacter,5.43E-05,0,0,0,0.000470884,0.000377888,0,0,0,0,5.53E-05,5.15E-05
Leptolinea,5.43E-05,6.16E-05,0,0,0.000523204,0.00026992,4.39E-05,0,0,0,5.53E-05,0
Geofilum,0,0,0,0,0,0,8.78E-05,0.000231653,0.001749831,0,0.00016581,0
Trichococcus,0.000597631,0.000369777,0.000829876,0.000845499,0,0,0,0,0,0,5.53E-05,5.15E-05
Haliscomenobacter,0.012767576,0.010045606,0.011144043,0.011160588,0.001726574,0.002267329,8.78E-05,9.27E-05,0.000451569,0.000708,0,0
Candidatus Solibacter,0.001358253,0.001479108,0.002548903,0.001972831,5.23E-05,0,0,0,0,0,5.53E-05,0
Anaerovorax,0.00016299,0,0,0,0.000627845,0.000863744,0,4.63E-05,0,0,0,0
Pseudolabrys,0.001086602,0.000616295,0.001422644,0.001127332,0.000313922,0.000647808,0.000131718,9.27E-05,0.000620908,0.000960858,0.00016581,0
Pelotomaculum,0.002770836,0.002218661,0.002371073,0.00349473,0,0,4.39E-05,0.000324314,0.000903138,0.001213715,0,5.15E-05
Thermoanaerobacter,0.001086602,0.000554665,0.000770599,0.000620033,0.000209282,0.000107968,4.39E-05,0,0.000282231,0.000303429,0,0
Byssovorax,0.001684233,0.001910514,0.001363367,0.000789133,0.004133312,0.005074498,0.000351247,0.000370645,0.001072477,0.001112572,0,5.15E-05
Aquincola,0.001521243,0.001725626,0.001659751,0.001578265,0.000209282,0.000215936,0,0,0.000225785,0.000101143,0.00011054,0
Sphingobacterium,0.001086602,0.001417478,0.001363367,0.001070966,0.003086904,0.003131073,0,0,0,5.06E-05,0,0
Cloacibacillus,0.000434641,0.000369777,0,0,0.001831214,0.001403585,0.001844046,0.002548184,0.008410476,0.005664003,0.00414525,0.005301354
Bilophila,0,0,0,0,0,0,4.39E-05,0.000231653,0.001128923,0.000252857,0.00038689,0.000102939
Nitrospira,0.01488645,0.009799088,0.016064019,0.01245702,0.001046408,0.001565537,4.39E-05,4.63E-05,0.000451569,0.000404572,0,0
Longilinea,0.004183418,0.004560582,0.004327208,0.005523928,0.004133312,0.003940834,0.000878117,0.000648629,0,0,0.0011054,0.000205878
Variovorax,0.002064544,0.002896586,0.002193242,0.002141931,5.23E-05,0,0.000790306,0.001250927,0.001693385,0.001163144,0,0
Fibrobacter,0.000869282,0.001047701,0.002252519,0.00315653,0.000313922,0.000161952,0,9.27E-05,0.000677354,0.001011429,5.53E-05,0
Luteolibacter,0.001847224,0.002033773,0.002015412,0.002536497,0,5.40E-05,0,0,0,5.06E-05,0,0
Petrimonas,0.003640117,0.003019845,0.004267931,0.003945663,0.000680165,0.000701792,0.000175623,0.000463306,0.000451569,0.000404572,0,0.000102939
Sphingopyxis,0.005867652,0.004868729,0.007350326,0.008624091,0.000680165,0.00107968,0.000263435,0.000370645,0.000508015,0.000455143,0,0
Reyranella,0.000814952,0.001540737,0.002015412,0.001634632,0.000156961,5.40E-05,4.39E-05,0.000138992,0.000620908,0.000606857,0.00011054,0
Opitutus,0.002173204,0.002465179,0.002726734,0.004171129,0.001412651,0.001511553,8.78E-05,4.63E-05,0.000451569,0.000455143,0.00016581,5.15E-05
Intestinibacter,0.00016299,6.16E-05,0.00017783,0.000112733,0.000261602,0.000107968,4.39E-05,0.000185322,0.000169338,0.000202286,0.00027635,0.000360286
