Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
rubritalea,0.000431011,0.000122609,0,0,0,0,0,0,0,0,0,0
prosthecobacter,0.00614191,0.006007847,0.006380716,0.008544606,0,0,0,0,0.000279517,0.000398307,0,0
gelria,0.000377135,0.000367827,0,0,0.001890268,0.002172375,0,0,0,0,0.000313201,0.0001479
phascolarctobacterium,0,0,0,0.000112429,0,0,0.000771142,0.002461931,0.008105993,0.006173762,0.000991805,0.002662197
bacillus,0,0,0,0,0,0,0.004626853,0.004239993,0.006876118,0.00527757,0.001096205,0.001084599
blattabacterium,0.000107753,6.13046E-05,0,0,0.000969368,0.001212489,0,0,0,0,0,0
kofleria,0.01109854,0.014467876,0.012879594,0.016245995,0.000242342,0.000101041,0.000471254,0.000547096,0.001453488,0.00124471,0,0
caldilinea,0.013522978,0.012260912,0.015892709,0.01506549,0.002859636,0.002172375,0.000942507,0.000775052,0.001006261,0.001194922,0.000208801,0.0001972
tolumonas,0.00059264,0.001042178,0.001004372,0.002079937,0,0,0,4.55913E-05,0.00016771,0.000149365,0,0
ohtaekwangia,0.001939551,0.001900441,0.001831502,0.002473439,0.000339279,0.000101041,0,0,0.000223614,0.000149365,0,0
campylobacter,5.38764E-05,0,0,0,0.000436216,0.000353643,0,0,0,0,5.22002E-05,4.92999E-05
leptolinea,5.38764E-05,6.13046E-05,0,0,0.000484684,0.000252602,4.28412E-05,0,0,0,5.22002E-05,0
geofilum,0,0,0,0,0,0,8.56825E-05,0.000227957,0.001733005,0,0.000156601,0
trichococcus,0.00059264,0.000367827,0.00082713,0.000843218,0,0,0,0,0,0,5.22002E-05,4.92999E-05
haliscomenobacter,0.012660956,0.009992643,0.011107172,0.011130474,0.001599457,0.002121855,8.56825E-05,9.11826E-05,0.000447227,0.000697038,0,0
candidatus solibacter,0.00134691,0.001471309,0.00254047,0.001967508,4.84684E-05,0,0,0,0,0,5.22002E-05,0
anaerovorax,0.000161629,0,0,0,0.000581621,0.000808326,0,4.55913E-05,0,0,0,0
pseudolabrys,0.001077528,0.000613046,0.001417937,0.00112429,0.00029081,0.000606244,0.000128524,9.11826E-05,0.000614937,0.00094598,0.000156601,0
pelotomaculum,0.002747697,0.002206964,0.002363228,0.0034853,0,0,4.28412E-05,0.000319139,0.000894454,0.001194922,0,4.92999E-05
thermoanaerobacter,0.001077528,0.000551741,0.000768049,0.00061836,0.000193874,0.000101041,4.28412E-05,0,0.000279517,0.00029873,0,0
byssovorax,0.001670169,0.001900441,0.001358856,0.000787003,0.003829003,0.004748914,0.00034273,0.000364731,0.001062165,0.001095345,0,4.92999E-05
aquincola,0.001508539,0.001716528,0.00165426,0.001574006,0.000193874,0.000202081,0,0,0.000223614,9.95768E-05,0.0001044,0
sphingobacterium,0.001077528,0.001410005,0.001358856,0.001068076,0.002859636,0.002930181,0,0,0,4.97884E-05,0,0
cloacibacillus,0.000431011,0.000367827,0,0,0.001696394,0.001313529,0.001799332,0.002507523,0.008329606,0.005576301,0.003915018,0.005077894
bilophila,0,0,0,0,0,0,4.28412E-05,0.000227957,0.001118068,0.000248942,0.000365402,9.85999E-05
nitrospira,0.014762136,0.009747425,0.016010871,0.012423408,0.000969368,0.00146509,4.28412E-05,4.55913E-05,0.000447227,0.000398307,0,0
longilinea,0.004148483,0.004536538,0.004312891,0.005509022,0.003829003,0.003687986,0.000856825,0.000638278,0,0,0.001044005,0.0001972
variovorax,0.002047303,0.002881314,0.002185986,0.002136152,4.84684E-05,0,0.000771142,0.001230966,0.001677102,0.001145133,0,0
fibrobacter,0.000862023,0.001042178,0.002245067,0.003148013,0.00029081,0.000151561,0,9.11826E-05,0.000670841,0.000995768,5.22002E-05,0
